Threshold	FalseNegativesImg3	FalsePositivesImg3	FalseNegativesImg6	FalsePositivesImg6	FalseNegativesSum	FalsePositivesSum
0.001	5393	1798868	4875	1566845	10268	3365713
0.002	6664	1218820	6592	1043328	13256	2262148
0.003	7760	887506	8912	764874	16672	1652380
0.004	8904	714915	11237	640726	20141	1355641
0.005	10155	577372	13645	533671	23800	1111043
0.006	11568	494291	16054	448459	27622	942750
0.007	13211	435379	18686	385204	31897	820583
0.008	15118	387951	21468	337627	36586	725578
0.009	17368	346909	24522	298997	41890	645906
0.01	20067	308350	27847	264176	47914	572526
0.011	23131	277472	31368	234884	54499	512356
0.012	26997	249939	35726	209023	62723	458962
0.013	31636	223738	40749	183240	72385	406978
0.014	37204	199803	46315	160388	83519	360191
0.015	43365	177813	52904	139723	96269	317536
0.016	49453	156668	59820	120103	109273	276771
0.017	55596	136111	66551	101843	122147	237954
0.018	62130	114961	73560	84591	135690	199552
0.019	69195	97356	80691	70548	149886	167904
0.02	76613	79850	88229	57029	164842	136879
0.021	85052	63221	96267	43782	181319	107003
0.022	94662	47801	105106	30884	199768	78685
0.023	105292	32694	114536	19978	219828	52672
0.024	116595	18905	124394	10963	240989	29868
Best threshold is 0.017.
