Threshold	FalseNegativesImg3	FalsePositivesImg3	FalseNegativesImg6	FalsePositivesImg6	FalseNegativesSum	FalsePositivesSum
0.001	4254	293408	9142	304299	13396	597707
0.002	7258	210391	14246	235814	21504	446205
0.003	10025	169645	18603	200022	28628	369667
0.004	13513	135651	23047	163458	36560	299109
0.005	16381	113254	26631	133804	43012	247058
0.006	20438	99081	31371	115560	51809	214641
0.007	23992	82850	35273	90007	59265	172857
0.008	28315	72006	40141	73910	68456	145916
0.009	31707	66257	44054	67418	75761	133675
0.01	36432	58003	48798	57493	85230	115496
0.011	41442	51532	53948	50909	95390	102441
0.012	46783	45335	59221	44328	106004	89663
0.013	51587	40554	64197	39628	115784	80182
0.014	56634	36691	69018	36336	125652	73027
0.015	62263	32248	74348	32728	136611	64976
0.016	68950	27941	80583	29374	149533	57315
0.017	73546	24863	84884	26657	158430	51520
0.018	79508	21546	90419	23905	169927	45451
0.019	87770	17593	97915	20279	185685	37872
0.02	90523	16306	100534	18817	191057	35123
0.021	100710	11537	109570	14480	210280	26017
0.022	106938	8908	114976	11873	221914	20781
0.023	115929	5509	122848	7895	238777	13404
0.024	122208	3289	128693	4979	250901	8268
Best threshold is 0.007.
