N	Correct Total	Correct Training	Correct Testing
1	159	147	12
2	213	191	22
3	250	215	35
4	283	239	44
5	309	258	51
6	337	277	60
7	353	288	65
8	368	296	72
9	389	306	83
10	400	313	87
11	423	324	99
12	437	333	104
13	455	343	112
14	471	353	118
15	483	359	124
16	498	369	129
17	508	375	133
18	529	389	140
19	546	399	147
20	563	407	156
21	578	416	162
22	594	425	169
23	603	429	174
24	615	437	178
25	624	442	182
26	634	450	184
27	645	453	192
28	654	460	194
29	665	465	200
30	679	473	206
31	698	488	210
32	713	496	217
33	723	501	222
34	741	514	227
35	752	520	232
36	764	526	238
37	776	533	243
38	787	541	246
39	806	550	256
40	815	557	258
41	823	562	261
42	833	570	263
43	842	573	269
44	851	580	271
45	860	586	274
46	870	594	276
47	877	598	279
48	892	607	285
49	906	615	291
50	914	622	292
